country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,start,end
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,74,12023,-0.23595577,3249854,2647068,724199908,2022-09-05 00:00:00,2022-09-11 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,79,15736,-0.296746514,4547067,2635045,720950054,2022-08-29 00:00:00,2022-09-04 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",97,56845,-0.704077171,20028748,2158371,720372977,2023-01-30 00:00:00,2023-02-05 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,83,22376,-0.204917742,6744259,2619309,716402987,2022-08-22 00:00:00,2022-08-28 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,90,28143,-0.202431559,8189861,2596933,709658728,2022-08-15 00:00:00,2022-08-21 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,92,35286,-0.271055839,9410374,2568790,701468867,2022-08-08 00:00:00,2022-08-14 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",97,192094,0.731559354,67346401,2101526,700344229,2023-01-23 00:00:00,2023-01-29 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,95,48407,-0.391703737,13244429,2533504,692058493,2022-08-01 00:00:00,2022-08-07 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,96,79578,-0.167916183,24043292,2485097,678814064,2022-07-25 00:00:00,2022-07-31 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,97,95637,-0.127566798,27610568,2405519,654770772,2022-07-18 00:00:00,2022-07-24 00:00:00
日本,鬼滅之刃劇場版 無限列車篇,2020-10-30T00:00:00,木棉花國際股份有限公司,Aniplex Inc.,5,187,1,84460,2602313,634938914,2022-04-25 00:00:00,2022-05-01 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",99,110937,-0.126920292,38917959,1909432,632997828,2023-01-16 00:00:00,2023-01-22 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,97,109621,-0.292790555,28149274,2309882,627160204,2022-07-11 00:00:00,2022-07-17 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,97,155005,-0.384517338,40434357,2200261,599010930,2022-07-04 00:00:00,2022-07-10 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",101,127064,-0.486446179,44379087,1798495,594079869,2023-01-09 00:00:00,2023-01-15 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,97,251843,-0.103621208,71132483,2045256,558576573,2022-06-27 00:00:00,2022-07-03 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",100,247421,-0.41182945,84817996,1671431,549700782,2023-01-02 00:00:00,2023-01-08 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,2,72,-0.576470588,5280,1967162,498216125,2022-05-30 00:00:00,2022-06-05 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,3,170,-0.333333333,11400,1967090,498210845,2022-05-23 00:00:00,2022-05-29 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,255,-0.126712329,18095,1966920,498199445,2022-05-16 00:00:00,2022-05-22 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,292,-0.308056872,23895,1966665,498181350,2022-05-09 00:00:00,2022-05-15 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,6,422,-0.242369838,36392,1966373,498157455,2022-05-02 00:00:00,2022-05-08 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,7,557,-0.052721088,48047,1965951,498121063,2022-04-25 00:00:00,2022-05-01 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,7,588,-0.282926829,44776,1965394,498073016,2022-04-18 00:00:00,2022-04-24 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,820,0.093333333,51592,1964806,498028240,2022-04-11 00:00:00,2022-04-17 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,4,750,8.615384615,46457,1963986,497976648,2022-04-04 00:00:00,2022-04-10 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,2,78,-0.297297297,14900,1963236,497930191,2022-03-28 00:00:00,2022-04-03 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,2,111,-0.433673469,28716,1963158,497915291,2022-03-21 00:00:00,2022-03-27 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,196,-0.511221945,51831,1963047,497886575,2022-03-14 00:00:00,2022-03-20 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,11,401,-0.608398438,102440,1962851,497834744,2022-03-07 00:00:00,2022-03-13 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,23,1024,-0.422121896,260013,1962450,497732304,2022-02-28 00:00:00,2022-03-06 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,42,1772,-0.537095089,442824,1961426,497472291,2022-02-21 00:00:00,2022-02-27 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,72,3828,-0.525768087,963399,1959654,497029467,2022-02-14 00:00:00,2022-02-20 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,84,8072,-0.644593167,2014745,1955826,496066068,2022-02-07 00:00:00,2022-02-13 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,89,22712,0.076908487,5800652,1947754,494051323,2022-01-31 00:00:00,2022-02-06 00:00:00
